Date,IP Address,Info
2020-02-28 15:06:25.900,192.168.100.21,RECEIVED: 3 login "RoyTenneman@Giacobeville.com" ***"
2020-02-28 15:06:26,192.168.100.21,RECEIVED: 3 login "RoyTenneman@Giacobeville.com" ***"
2020-02-28 15:06:26.100,192.168.100.21,SENT: 3 OK LOGIN completed"
2020-02-28 15:06:26.100,192.168.100.21,SENT: 3 OK LOGIN completed"
2020-02-28 15:06:30,192.168.100.21,RECEIVED: 3 login "RoyTenneman@Giacobeville.com" ***"
2020-02-28 15:06:30,192.168.100.21,SENT: 3 OK LOGIN completed"
2020-02-28 15:06:40.500,192.168.100.21,RECEIVED: 3 login "RoyTenneman@Giacobeville.com" ***"
2020-02-28 15:06:40.600,192.168.100.21,SENT: 3 OK LOGIN completed"
2020-02-28 15:06:42.400,192.168.100.21,RECEIVED: 3 login "RoyTenneman@Giacobeville.com" ***"
2020-02-28 15:06:42.400,192.168.100.21,SENT: 3 OK LOGIN completed"
2020-02-28 15:08:39.700,192.168.100.21,RECEIVED: 3 login "RoyTenneman@Giacobeville.com" ***"
2020-02-28 15:08:39.700,192.168.100.21,SENT: 3 OK LOGIN completed"
2020-02-28 15:21:55.800,192.168.100.11,RECEIVED: 3 login "HelenJackson@Giacobeville.com" ***"
2020-02-28 15:21:55.800,192.168.100.11,SENT: 3 OK LOGIN completed"
2020-02-28 15:22:20.200,192.168.100.11,RECEIVED: 3 login "HelenJackson@Giacobeville.com" ***"
2020-02-28 15:22:20.200,192.168.100.11,SENT: 3 OK LOGIN completed"
2020-02-28 15:22:20.600,192.168.100.11,RECEIVED: 3 login "HelenJackson@Giacobeville.com" ***"
2020-02-28 15:22:20.600,192.168.100.11,SENT: 3 OK LOGIN completed"
2020-02-28 15:22:32.900,192.168.100.11,RECEIVED: 3 login "HelenJackson@Giacobeville.com" ***"
2020-02-28 15:22:32.900,192.168.100.11,SENT: 3 OK LOGIN completed"
2020-02-28 15:22:34.300,192.168.100.11,RECEIVED: 3 login "HelenJackson@Giacobeville.com" ***"
2020-02-28 15:22:34.400,192.168.100.11,SENT: 3 OK LOGIN completed"
2020-02-28 15:23:05.900,192.168.100.11,RECEIVED: 3 login "HelenJackson@Giacobeville.com" ***"
2020-02-28 15:23:05.900,192.168.100.11,SENT: 3 OK LOGIN completed"
2020-02-28 15:28:11.800,192.168.100.21,RECEIVED: 3 login "DouglasAdams@giacobeville.com" ***"
2020-02-28 15:28:11.900,192.168.100.21,SENT: 3 OK LOGIN completed"
2020-02-28 15:32:07.500,192.168.100.11,RECEIVED: 3 login "HelenJackson@Giacobeville.com" ***"
2020-02-28 15:32:07.600,192.168.100.11,SENT: 3 OK LOGIN completed"
2020-02-28 15:36:05.200,192.168.100.21,RECEIVED: 3 login "DouglasAdams@giacobeville.com" ***"
2020-02-28 15:36:05.200,192.168.100.21,SENT: 3 OK LOGIN completed"
2020-02-28 15:36:08,192.168.100.21,RECEIVED: 3 login "DouglasAdams@giacobeville.com" ***"
2020-02-28 15:36:08.100,192.168.100.21,SENT: 3 OK LOGIN completed"
2020-02-28 16:20:35,192.168.100.21,RECEIVED: 3 login "DouglasAdams@giacobeville.com" ***"
2020-02-28 16:20:35,192.168.100.21,SENT: 3 OK LOGIN completed"
2020-02-28 16:50:35.700,192.168.100.21,RECEIVED: 3 login "DouglasAdams@giacobeville.com" ***"
2020-02-28 16:50:35.700,192.168.100.21,SENT: 3 OK LOGIN completed"
2020-02-28 17:20:37.500,192.168.100.21,RECEIVED: 3 login "DouglasAdams@giacobeville.com" ***"
2020-02-28 17:20:37.600,192.168.100.21,SENT: 3 OK LOGIN completed"
2020-02-28 17:50:37.600,192.168.100.21,RECEIVED: 3 login "DouglasAdams@giacobeville.com" ***"
2020-02-28 17:50:37.700,192.168.100.21,SENT: 3 OK LOGIN completed"
2020-02-28 18:20:37.500,192.168.100.21,RECEIVED: 3 login "DouglasAdams@giacobeville.com" ***"
2020-02-28 18:20:37.500,192.168.100.21,SENT: 3 OK LOGIN completed"
2020-02-28 18:50:38,192.168.100.21,RECEIVED: 3 login "DouglasAdams@giacobeville.com" ***"
2020-02-28 18:50:38,192.168.100.21,SENT: 3 OK LOGIN completed"
2020-02-28 19:20:38,192.168.100.21,RECEIVED: 3 login "DouglasAdams@giacobeville.com" ***"
2020-02-28 19:20:38.100,192.168.100.21,SENT: 3 OK LOGIN completed"
2020-02-28 19:50:38.400,192.168.100.21,RECEIVED: 3 login "DouglasAdams@giacobeville.com" ***"
2020-02-28 19:50:38.500,192.168.100.21,SENT: 3 OK LOGIN completed"
2020-02-28 20:20:39.500,192.168.100.21,RECEIVED: 3 login "DouglasAdams@giacobeville.com" ***"
2020-02-28 20:20:39.500,192.168.100.21,SENT: 3 OK LOGIN completed"
2020-02-28 20:50:40.900,192.168.100.21,RECEIVED: 3 login "DouglasAdams@giacobeville.com" ***"
2020-02-28 20:50:41,192.168.100.21,SENT: 3 OK LOGIN completed"
2020-02-28 21:20:40.300,192.168.100.21,RECEIVED: 3 login "DouglasAdams@giacobeville.com" ***"
2020-02-28 21:20:40.300,192.168.100.21,SENT: 3 OK LOGIN completed"
2020-02-28 21:50:40.900,192.168.100.21,RECEIVED: 3 login "DouglasAdams@giacobeville.com" ***"
2020-02-28 21:50:41,192.168.100.21,SENT: 3 OK LOGIN completed"
2020-02-28 22:20:41.400,192.168.100.21,RECEIVED: 3 login "DouglasAdams@giacobeville.com" ***"
2020-02-28 22:20:41.400,192.168.100.21,SENT: 3 OK LOGIN completed"
2020-02-28 22:50:42,192.168.100.21,RECEIVED: 3 login "DouglasAdams@giacobeville.com" ***"
2020-02-28 22:50:42,192.168.100.21,SENT: 3 OK LOGIN completed"
2020-02-28 23:20:42.200,192.168.100.21,RECEIVED: 3 login "DouglasAdams@giacobeville.com" ***"
2020-02-28 23:20:42.200,192.168.100.21,SENT: 3 OK LOGIN completed"
2020-02-28 23:50:44.100,192.168.100.21,RECEIVED: 3 login "DouglasAdams@giacobeville.com" ***"
2020-02-28 23:50:44.100,192.168.100.21,SENT: 3 OK LOGIN completed"
2020-02-29 00:20:43.100,192.168.100.21,RECEIVED: 3 login "DouglasAdams@giacobeville.com" ***"
2020-02-29 00:20:43.100,192.168.100.21,SENT: 3 OK LOGIN completed"
2020-02-29 00:50:44.200,192.168.100.21,RECEIVED: 3 login "DouglasAdams@giacobeville.com" ***"
2020-02-29 00:50:44.300,192.168.100.21,SENT: 3 OK LOGIN completed"
2020-02-29 01:20:43.800,192.168.100.21,RECEIVED: 3 login "DouglasAdams@giacobeville.com" ***"
2020-02-29 01:20:43.900,192.168.100.21,SENT: 3 OK LOGIN completed"
2020-02-29 02:00:44.400,192.168.100.21,RECEIVED: 3 login "DouglasAdams@giacobeville.com" ***"
2020-02-29 02:00:44.500,192.168.100.21,SENT: 3 OK LOGIN completed"
